id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,sale_price,item_group_id,gender,age_group,material,shipping
america-250th-anniversary-eagle-iphone-case,"America 250th Anniversary Eagle iPhone Case, Patriotic God Bless America Phone Cover","This clear iPhone case wraps America's 250th anniversary in one bold graphic: a soaring eagle, a waving flag, a nod to military service, and lines from…",in stock,new,24.99 USD,https://curatedthreadsoutdoors.com/products/america-250th-anniversary-eagle-iphone-case?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=america-250th-anniversary-eagle-iphone-case,https://i.etsystatic.com/57889570/r/il/a44ea9/8133108069/il_1588xN.8133108069_sjxi.jpg,Curated Threads Outdoors,Electronics > Communications > Telephony > Mobile Phone Accessories > Mobile Phone Cases,Electronics,,,,,plastic,US::Standard:0.00 USD
america-250th-anniversary-eagle-tank-top-patriotic-god-bless-america-shirt,"America 250th Anniversary Eagle Tank Top, Patriotic God Bless America Shirt","This tank top carries a bold eagle graphic across the chest, a soaring eagle, a waving flag, a nod to military service, and the classic ""Start Your…",in stock,new,19.99 USD,https://curatedthreadsoutdoors.com/products/america-250th-anniversary-eagle-tank-top-patriotic-god-bless-america-shirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=america-250th-anniversary-eagle-tank-top-patriotic-god-bless-america-shirt,https://i.etsystatic.com/57889570/r/il/ace495/8133090193/il_1588xN.8133090193_48z7.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton,US::Standard:0.00 USD
america-250th-anniversary-patriotic-eagle-pint-glass,"America 250th Anniversary Patriotic Eagle Pint Glass, God Bless America Barware","Raise a glass to 250 years of freedom with this patriotic pint glass, printed with a bold eagle, waving flag, a nod to military service, and the classic…",in stock,new,26.99 USD,https://curatedthreadsoutdoors.com/products/america-250th-anniversary-patriotic-eagle-pint-glass?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=america-250th-anniversary-patriotic-eagle-pint-glass,https://i.etsystatic.com/57889570/r/il/9044c1/8085199096/il_1588xN.8085199096_1q1r.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Barware,Home & Garden > Kitchen & Dining,,,,,glass,US::Standard:0.00 USD
bald-eagle-patriotic-250th-tshirt-american-flag-graphic-tee,"Bald Eagle Patriotic 250th TShirt, American Flag Graphic Tee, USA Pride Unisex T-Shirt","This tee puts a bold bald eagle and American flag graphic front and center, the kind of design that works for the Fourth of July, Memorial Day, Veterans…",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/bald-eagle-patriotic-250th-tshirt-american-flag-graphic-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=bald-eagle-patriotic-250th-tshirt-american-flag-graphic-tee,https://i.etsystatic.com/57889570/r/il/f796f2/8296661427/il_1588xN.8296661427_1bzl.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
bass-fishing-hoodie-hook-line-and-sinker-lake-sunset-sweatshirt,"Bass Fishing Hoodie, Hook Line and Sinker Lake Sunset Sweatshirt, Trophy Bass Fisherman Gift for Dad Mom, Fishing Birthday Christmas Gift","Evenings on the water, the last cast before the sun drops, and the one that finally didn't get away. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/bass-fishing-hoodie-hook-line-and-sinker-lake-sunset-sweatshirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=bass-fishing-hoodie-hook-line-and-sinker-lake-sunset-sweatshirt,https://i.etsystatic.com/57889570/r/il/a389ce/8357766424/il_1588xN.8357766424_qtti.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
bear-down-one-nation-under-god-shirt-patriotic-bear-hunting-tee,"Bear Down One Nation Under God Shirt, Patriotic Bear Hunting Tee, Hunter Gift Men and Women","This Bear Down tee puts a charging grizzly front and center against a mountain backdrop, framed by weathered earth tones, bold stars, and ""One Nation…",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/bear-down-one-nation-under-god-shirt-patriotic-bear-hunting-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=bear-down-one-nation-under-god-shirt-patriotic-bear-hunting-tee,https://i.etsystatic.com/57889570/r/il/bdfff9/8292069393/il_1588xN.8292069393_oth9.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
bear-hunter-hoodie-black-bear-hunting-sweatshirt,"Bear Hunter Hoodie, Black Bear Hunting Sweatshirt, Hound Hunter Gift for Dad Mom Grandpa, Hunting Birthday Christmas Gift Idea","Cold mountain mornings, the bay of a hound on a hot track, and the walk out with a story worth telling. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/bear-hunter-hoodie-black-bear-hunting-sweatshirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=bear-hunter-hoodie-black-bear-hunting-sweatshirt,https://i.etsystatic.com/57889570/r/il/d685ad/8326040916/il_1588xN.8326040916_8goy.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
bear-hunter-mug-black-bear-hunting-coffee-cup,"Bear Hunter Mug, Black Bear Hunting Coffee Cup, Hound Hunter Gift for Dad Mom Grandpa, Hunting Birthday Christmas Gift Idea",Cold mountain mornings and the bay of a hound on a hot track come to mind with this bear hunter mug. Free shipping from our Etsy shop.,in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/bear-hunter-mug-black-bear-hunting-coffee-cup?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=bear-hunter-mug-black-bear-hunting-coffee-cup,https://i.etsystatic.com/57889570/r/il/0e0c92/8292817007/il_1588xN.8292817007_f73z.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
bear-hunter-shirt-black-bear-hunting-graphic-tee,"Bear Hunter Shirt, Black Bear Hunting Graphic Tee, Hound Hunter Gift for Dad Mom Grandpa, Hunting Birthday Christmas Gift Idea",This bear hunter tee is built for the one who follows the hounds up the mountain and lives for the bay of a treed bear. Free shipping from our Etsy shop.,in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/bear-hunter-shirt-black-bear-hunting-graphic-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=bear-hunter-shirt-black-bear-hunting-graphic-tee,https://i.etsystatic.com/57889570/r/il/9dc4c0/8244900806/il_1588xN.8244900806_dut0.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
big-buck-down-hoodie-whitetail-deer-hunter-sweatshirt,"Big Buck Down Hoodie, Whitetail Deer Hunter Sweatshirt, Hunt Camp Bragging Rights Gift for Dad, Hunting Birthday Christmas Gift","For the hunter who dropped their target buck and can't wait to tell everybody at deer camp about it, this Big Buck Down hoodie features a bold, detailed whitetail illustration with a proud rack, paired with rugged camo-pattern lettering that reads like a campfire brag and a grin. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/big-buck-down-hoodie-whitetail-deer-hunter-sweatshirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=big-buck-down-hoodie-whitetail-deer-hunter-sweatshirt,https://i.etsystatic.com/57889570/r/il/930f9b/8408156033/il_1588xN.8408156033_f9p8.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
